Component,Climate change,Particulate matter ,Terrestrial eutrophication,Land use,Minerals and metals use,Fossils use
Electricity,0.00987,1.29E-10,6.41E-05,0.0161,1.08E-09,0.187
Biomass,0.00175,5.29E-09,0.000249,1.54,4.59E-09,0.0298
Solar thermal field,0.00271959,1.43E-10,3.98E-05,0.0157247,1.23E-07,0.040304
Seasonal storage,0.00307737,7.04E-11,1.47E-05,0.001686893,1.12E-09,0.0388101
Heat transport,0.000899,3.23E-11,5.16E-06,0.00363,2.33E-09,0.0412
Heat pump,0.001498,5.02E-11,8.38E-06,0.00617,1.07E-07,0.01077
Other,1.41E-04,1.56E-11,4.76E-06,0.0011346,2.71E-08,0.001628
