Component,Value
Heat (wood chips),4.63E+04
Electricity mix,3.69E+04
Flat plate collectors,2.17E+04
Heat pump,1.14E+04
District heat transport,1.12E+04
Heat storage,3.70E+03
Polystyrene,2.82E+03
Other,4.95E+03
Heat exchanger,2.23E+03
Foam glass,1.41E+03
Polyurethane,1.31E+03
